詞語	吳拼
別傳	biq dzoe
別傻了	biq sa lei
莫呆了	mhau nge lei
莫呆了	mau nge lei
別具爐錘	biq jiu lu zei
別出去	biq tshyuq chi
莫出去	mhau tshyuq chi
莫出去	mau tshyuq chi
別去	biq chi
莫去	mhau chi
莫去	mau chi
別問	biq men
莫問	mhau men
莫問	mau men
別嚇人	biq haq gnin
別太	biq tha
別太客氣	biq tha khaq chi
莫嚇人	mau haq gnin
莫忒	mau thaq
莫忒客氣	mau thaq khaq chi
莫忒	mau thou
莫忒客氣	mau thou khaq chi
莫嚇人	mhau haq gnin
莫忒	mhau thaq
莫忒客氣	mhau thaq khaq chi
莫忒	mhau thou
莫忒客氣	mhau thou khaq chi
別家	biq ko
別從	biq dzon
別忘	biq maon
別拿	biq na
莫從	mau dzon
莫忘	mau maon
莫忘記	mau maon ci
莫馱	mau dou
莫從	mhau dzon
莫忘	mhau maon
莫忘記	mhau maon ci
莫馱	mhau dou
別提了	biq di lei
甮話了	ven wo lei
別教	biq ciau
別有韻味	biq yeu yun vi
別有風味	biq yeu fon vi
別架	biq ko
別無分號	biq vu fen ghau
別無分號	biq Wu fen ghau
別無長物	biq vu jian vaq
別無長物	biq Wu jian vaq
別生	biq sen
別生枝節	biq sen tsy ciq
別生氣	biq san chi
莫生氣	mau san chi
莫生氣	mhau san chi
別的人	biq tiq gnin
別省	biq san
莫省	mau san
莫省	mhau san
別着	biq dzoq
別着	biq zyuq
別勒	biq laq
別着急	biq dzoq ciq
別着急	biq zyuq ciq
莫急	mhau ciq
莫急	mau ciq
別被	biq bei
莫撥	mau paq
莫撥	mhau paq
別過去	biq kou chi
莫過去	mau kou chi
莫過去	mhau kou chi
別開生面	biq khe sen mi
別集	biq jiq
刨根問底	bau ken ven ti
利人	li gnin
利人利己	li gnin li ci
利他行爲	li tha ghan wei
利伯曼	li pan mae
利伯維爾	li pan vi er
利勒哈默爾	li laq ha maq er
利大於弊	li da yu bi
利害關係人	li ghe kuae shi gnin
利尿	li gniau
利尿劑	li gniau ci
利差	li tsha
利己利人	li ci li gnin
利弊參半	li bi tshae pun
利息率	li shiq liq
利未記	li vi ci
利樂	li loq
利樂包	li loq pau
利潤分配	li zyun fen phei
利潤增長	li zyun tsen cian
利潤率	li zyun liq
利率	li liq
利率政策	li liq cin tshaq
利用厚生	li yon gheu sen
利用效率	li yon yau liq
利用率	li yon liq
利益分配	li iq fen phei
利益集團	li iq jiq doe
利馬索爾	li ma soq er
刪了	sae laq
刪了	sae lei
刪去	sae chiu
刮下去	kuaq gho chi
刮落去	kuaq loq chi
刮來刮去	kuaq le kuaq chi
刮刮樂	kuaq kuaq loq
刮刮雜雜	kuaq kuaq dzaq dzaq
刮剌	kuaq laq
刮剌剌	kuaq laq laq
刮拉	kuaq lha
刮涎	kuaq yi
刮着	kuaq dzoq
刮着	kuaq zyuq
刮勒	kuaq laq
刮過去	kuaq kou chi
刮骨去毒	kuaq kuaq chiu doq
刮鼻子	kuaq biq tsy
到不了	tau paq liau
到勿了	tau vaq liau
到弗了	tau vaq liau
到任	tau gnin
到你	tau gni
到你	tau ng
到俉	tau ng
到爾	tau ng
到儂	tau nou
到阿裏	tau aq li
到阿裏去	tau aq li chi
到場人員	tau jian zyun yu
到家	tau cia
到期日	tau ji gniq
到死	tau shi
到職人員	tau ciq zyun yu
到該	tau kiq
到達大廳	tau daq da thin
制伏	tsyu voq
制禮作樂	tsyu li tsoq yuq
刷上去	syuq zaon chi
刷下去	syuq gho chi
刷落去	syuq loq chi
刷來刷去	syuq le syuq chi
刷分	syuq fen
刷拉	syuq lha
刷爆	syuq pau
刺上去	tshy zaon chi
刺下去	tshy gho chi
刺落去	tshy loq chi
刺五加	tshy ng cia
刺出去	tshy tshyuq chi
刺啦	tshy la
刺客列傳	tshy khaq liq dzoe
刺死	tshy shi
刺煞死	tshy saq shi
戳煞死	tshoq saq shi
刺溜	tshy lieu
刺着	tshy dzoq
刺着	tshy zyuq
刺耳	tshy er
刺鼻	tshy biq
刻上去	khaq zaon chi
刻下去	khaq gho chi
刻了	khaq laq
刻個	khaq goq
刻個	khaq ghoq
刻着	khaq dzoq
刻着	khaq zyuq
刻勒	khaq laq
刻的	khaq tiq
刻苦學習	khaq khu ghoq zyuq
刻苦學習	khaq khu ghoq zhiq
刻著	khaq tsyu
刻過去	khaq kou chi
剃了	thi laq
剃了	thi lei
則從	tsaq dzon
削了	shiaq laq
削了	shiaq lei
削來削去	shiaq le shiaq chi
削去	shiaq chiu
削着	shiaq dzoq
削着	shiaq zyuq
削仔	shiaq tsy
剋制不了	khaq tsyu paq liau
前一段時間	zhi iq doe zy ci
前一段辰光	zhi iq doe zyun kuaon
前世	zhi shi
前世姻緣	zhi shi in yu
前事不忘	zhi zy paq vaon
前事不忘後事之師	zhi zy paq vaon gheu zy tsy sy
前人	zhi gnin
前人撒土迷了後人的眼	zhi gnin saq thu mi liau gheu gnin tiq ngae
前人栽樹	zhi gnin tse zyu
前人栽樹後人乘涼	zhi gnin tse zyu gheu gnin zhin lian
前人種樹	zhi gnin tson zyu
前任	zhi zyun
前傳	zhi dzoe
前哨戰	zhi sau ci
前哨戰	zhi sau tsoe
前後任	zhi gheu zyun
前後矛盾	zhi gheu mau den
前所未有	zhi so vi yeu
前所未有的	zhi so vi yeu tiq
前所未有個	zhi so vi yeu goq
前所未有個	zhi so vi yeu ghoq
前所未聞	zhi so vi ven
前所未見	zhi so vi ci
前朝	zhi jiau
前段時間	zhi doe zy ci
前段辰光	zhi doe zyun kuaon
前無古人	zhi vu ku zyun
前無古人後無來者	zhi vu ku zyun gheu vu le tse
前無古人	zhi Wu ku zyun
前無古人後無來者	zhi Wu ku zyun gheu Wu le tse
前生	zhi san
前生冤孽	zhi san iu gniq
前甲板	zhi ciaq pae
前短後長	zhi toe gheu jian
前程遠大	zhi jin yu da
前緣未了	zhi yu vi liau
前行	zhi yin
前途未卜	zhi du vi poq
前鋸肌	zhi ciu ci
前長後短	zhi jian gheu toe
前鼻音	zhi biq in
剎那之間	saq nha tsy ci
剎那間	saq nha ci
剔了	thiq laq
剔了	thiq lei
剔去	thiq chiu
剔着	thiq dzoq
剔着	thiq zyuq
剖腹生產	phou foq sen tshae
剖腹自殺	phou foq zy saq
剖解	phou ka
剛乾	kaon kI
剛出去	kaon tshyuq chi
剛出生	kaon tshyuq san
剛加	kaon ko
剛去	kaon chi
剛回去	kaon wei chi
剛從	kaon dzon
剛愎自用	kaon biq zy yon
剛正不阿	kaon cin paq ou
剛直不阿	kaon jiq paq ou
剛背	kaon pei
剛被	kaon bei
剛過去	kaon kou chi
剛鋸	kaon ciu
剝去	poq chiu
剝啄	poq toq
剩了	jin laq
剩個	jin goq
剩個	jin ghoq
剩餘價值率	jin yu ko jiq liq
剪下去	ci gho chi
剪落去	ci loq chi
剪了	ci laq
剪個	ci goq
剪個	ci ghoq
剪刀差	ci tau tsho
剪去	ci chiu
剪着	ci dzoq
剪着	ci zyuq
剪勒	ci laq
剪過去	ci kou chi
副主任	fu tsyu gnin
副主任委員	fu tsyu gnin uei yu
副主教	fu tsyu ciau
副交感神經	fu ciau kI zyun cin
副團長	fu doe cian
副官處長	fu kun tshyu cian
副局長	fu jiuq cian
副州長	fu cieu cian
副市長	fu zy cian
副廠長	fu chian cian
副所長	fu so cian
副教授	fu ciau zhieu
副會長	fu wei cian
副校長	fu yau cian
副班長	fu pae cian
副理事長	fu li zy cian
副省級	fu san ciq
副省級城市	fu san ciq jin zy
副省長	fu san cian
副社長	fu dzo cian
副祕書長	fu pi syu cian
副組長	fu tsu cian
副縣長	fu yu cian
副董事長	fu ton zy cian
副處長	fu tshyu cian
副議長	fu gni cian
副部長	fu bu cian
副院長	fu yu cian
割下去	kaq gho chi
割落去	kaq loq chi
割了	kaq laq
割來割去	kaq le kaq chi
割去	kaq chiu
割回去	kaq wei chi
割席絕交	kaq zhiq dzyuq ciau
割着	kaq dzoq
割着	kaq zyuq
割腕自殺	kaq un zy saq
割進去	kaq cin chi
割過去	kaq kou chi
割雞焉用牛刀	kaq ci i yon ngeu tau
創世	tshaon syu
創世紀	tshaon syu ci
創世記	tshaon syu ci
創世論	tshaon syu len
創作人	tshaon tsoq gnin
創作家	tshaon tsoq cia
創價學會	tshaon ko yuq wei
創始人	tshaon sy gnin
創建一個	tshaon ci iq goq
創建人	tshaon ci gnin
創牌子	tshaon ba tsy
創立人	tshaon liq gnin
創辦人	tshaon bae gnin
創造學	tshaon zau yuq
劃一不二	waq iq paq er
劃了	waq laq
劃來劃去	waq le waq chi
劃分	waq fen
劃分成	waq fen jin
劃分法	waq fen faq
劃分爲	waq fen wei
劃去	waq chi
劃地自限	waq di zy ghae
劃拉	waq lha
劃着	waq dzoq
劃着	waq zyuq
劇中人	jiq tson gnin
劇作家	jiq tsoq cia
劇情介紹	jiq jin ka zhiau
劇評人	jiq bin gnin
劇集	jiq jiq
劈哩啪啦	phiq lhi phaq lha
劈材	phiq ze
劈里啪啦	phiq li phaq lha
劉伯溫	lieu paq uen
劉先生	lieu shi san
劉嘉玲	lieu cia lin
劉嘉發	lieu cia faq
劉姥姥進大觀園	lieu meu meu cin da kun yu
劉家	lieu ko
劉家村	lieu ko tshen
劉家輝	lieu cia huei
劉易斯	lieu yi sy
劉涓子鬼遺方	lieu ciu tsy kuei yi faon
劉禹錫	lieu yu shiq
劉貴今	lieu kuei cin
劉賓雁	lieu pin yi
劉銘傳	lieu min dzOE
劉長卿	lieu jian chin
劉長瑜	lieu jian yu
劉長發	lieu jian faq
劍尾	ci vi
劍橋大學	ci jiau da ghoq
劍潭	ci dae
劍眉	ci mei
劍背	ci pei
劍魚	ci yu
劍魚座	ci yu zou
力不從心	liq paq dzon shin
力不從願	liq paq dzon gniu
力不自勝	liq paq zy shin
力傳遞	liq dzOE di
力單勢弱	liq tae syu zhiaq
力大如牛	liq da zyu ngeu
力學	liq yuq
力學不倦	liq yuq paq jiu
力學傳遞	liq yuq dzOE di
力學波	liq yuq pou
力所未逮	liq so vi di
力敵萬人	liq diq vae gnin
力有未逮	liq yeu vi di
力疾從公	liq jiq dzon kon
力行	liq yin
力行近乎仁	liq yin jin fu zyun
力透紙背	liq theu tsy pei
功不可沒	kon paq khou maq
功到自然成	kon tau zy zoe jin
功大於過	kon da yu kou
功夫不負有心人	kon fu paq veu yeu shin gnin
功學社	kon yuq dzo
功完行滿	kon wun yin mun
功架	kon ko
功流萬世	kon lieu vae syu
功率	kon liq
功率因數	kon liq in su
功率放大	kon liq faon da
功率放大器	kon liq faon da chi
功率表	kon liq piau
功率輸出	kon liq syu tshyuq
功能強大	kon nen jian da
功能集	kon nen jiq
功虧一簣	kon khuei iq guei
功行圓滿	kon yin yu mun
功過參半	kon kou tshae pun
加一	ko iq
加上	ko zaon
加上來	ko zaon le
加上去	ko zaon chi
加下	ko gho
加下來	ko gho le
加下去	ko gho chi
加落	ko loq
加落來	ko loq le
加落去	ko loq chi
加了	ko laq
加些	ko shiq
加人	ko gnin
加人一等	ko gnin iq ten
加付	ko fu
加以	cia yi
加以解決	cia yi ka ciuq
加以解決	cia yi cia ciuq
加來加去	ko le ko chi
加來海峽	cia le he yaq
加侖	cia len
加個	ko goq
加倍	ko bei
加倍努力	ko bei nu liq
加倫河	cia len ghou
加值	ko jiq
加價	ko ko
加元	cia gniu
加入	ko zyuq
加入到	ko zyuq tau
加入時間	ko zyuq zy ci
加內特	cia nei daq
加冕	cia mi
加冕典禮	cia mi ti li
加冕禮	cia mi li
加冠	cia kun
加冰	ko pin
加冰塊	ko pin khuei
加出	cia tshyuq
加分	ko fen
加分法	ko fen faq
加利利	cia li li
加利波里	cia li pou li
加利略	cia li liaq
加利福尼亞	cia li foq gni ia
加利福尼亞大學	cia li foq gni ia da ghoq
加利福尼亞州	cia li foq gni ia cieu
加利福尼亞理工學院	cia li foq gni ia li kon yuq yu
加利福尼亞理工學院	cia li foq gni ia li kon ghoq yu
加利肋亞	cia li laq ia
加利西亞	cia li shi ia
加到	ko tau
加剪	ko ci
加力	ko liq
加力燃燒室	ko liq zoe shiau syuq
加加	cia cia
加加林	cia cia lin
加加減減	ko ko kae kae
加勒比	cia laq pi
加勒比國家聯盟	cia laq pi koq cia li men
加勒比海	cia laq pi he
加勒比海羣島	cia laq pi he jiun tau
加厚	ko gheu
加吉魚	cia ciq ng
加味	ko vi
加哩粉	cia li fen
加回	ko wei
加回來	ko wei le
加回去	ko wei chi
加固	cia ku
加固作用	cia ku tsoq yon
加國	cia koq
加圖索	cia du soq
加在	ko dze
加場	ko jian
加增	cia tsen
加壓	ko aq
加壓法	ko aq faq
加壓艙	ko aq tshaon
加壓釜	ko aq fu
加多	ko tou
加多少	ko tou shiau
加夠	ko keu
加大	cia da
加大力度	cia da liq du
加大努力	cia da nu liq
加大油門	cia da yeu men
加大油門	ko dou yeu men
加太基	cia tha ci
加官晉爵	cia kun cin ciaq
加官晉級	cia kun cin ciq
加官進爵	cia kun cin ciaq
加官進祿	cia kun cin loq
加害	cia ghe
加密	ko miq
加密套接字協議層	ko miq thau ciq zy yaq gni zen
加密後的	ko miq gheu tiq
加密狗	ko miq keu
加富爾	cia fu er
加寫	ko shia
加寬	ko khun
加封	ko fon
加州	cia cieu
加州人	cia cieu gnin
加州大學	cia cieu da ghoq
加州技術學院	cia cieu ji zyuq yuq yu
加州技術學院	cia cieu ji zyuq ghoq yu
加州理工學院	cia cieu li kon yuq yu
加州理工學院	cia cieu li kon ghoq yu
加工	cia kon
加工企業	cia kon chi gniq
加工出口	cia kon tshyuq kheu
加工出口區	cia kon tshyuq kheu chiu
加工區	cia kon chiu
加工品	cia kon phin
加工工業	cia kon kon gniq
加工工藝	cia kon kon gni
加工廠	cia kon chian
加工成本	cia kon jin pen
加工效率	cia kon yau liq
加工業	cia kon gniq
加工硬化	cia kon ngan huo
加工訂貨	cia kon tin hou
加工費	cia kon fi
加工貿易	cia kon meu yiq
加工餘量	cia kon yu lian
加巴里雅	cia po li ia
加布	cia pu
加座	ko zou
加強	cia jian
加強控制	cia jian khon tsyu
加強法	cia jian faq
加強管制	cia jian kun tsyu
加強管理	cia jian kun li
加強領導	cia jian lin dau
加彭	cia ban
加得	cia taq
加德滿都	cia taq mun tu
加德納	cia taq naq
加德西	cia taq shi
加快	cia khua
加快建設	cia khua ci shiq
加快推進	cia khua thei cin
加快步伐	cia khua bu vaq
加快發展	cia khua faq ci
加快發展	cia khua faq tsoe
加快腳步	cia khua ciaq bu
加急	ko ciq
加息	ko shiq
加意	cia i
加成	ko jin
加成收費	ko jin shieu fi
加我	ko ngo
加把	cia po
加把勁	cia po jin
加拉加斯	cia lha cia sy
加拉太書	cia lha tha syu
加拉巴哥斯	cia lha po kou sy
加拉帕戈斯羣島	cia lha phaq kou sy jiun tau
加拉干達	cia lha kI daq
加拉罕	cia lha he
加拿大	cia na da
加拿大人	cia na da gnin
加拿大太平洋鐵路	cia na da tha bin yan thiq lu
加拿大皇家	cia na da waon cia
加拿大皇家海軍	cia na da waon cia he ciun
加拿大鋁業集團	cia na da li gniq jiq doe
加持	cia dzy
加持	cia ji
加掛	ko kuo
加掛車廂	ko kuo tsho shian
加撥	ko paq
加播	ko pou
加收	ko shieu
加敷	ko fu
加數	ko su
加料	ko liau
加料處理	ko liau tshyu li
加時	ko zy
加時賽	ko zy se
加杯	ko pei
加查	cia dzo
加查縣	cia dzo yu
加格達奇	cia kaq daq ji
加格達奇區	cia kaq daq ji chiu
加框	ko khuaon
加檔	ko taon
加權	cia jiu
加權平均	cia jiu bin ciun
加權指數	cia jiu tsy su
加氫	ko chin
加氫油	ko chin yeu
加氫精制	ko chin cin tsyu
加氫裂化	ko chin liq huo
加氯	ko loq
加氯處理	ko loq tshyu li
加沙	ko so
加沙	cia so
加沙地帶	cia so di ta
加油	ko yeu
加油吧	ko yeu pa
加油啊	ko yeu gha
加油團	ko yeu doe
加油工	ko yeu kon
加油戰	ko yeu ci
加油戰	ko yeu tsoe
加油機	ko yeu ci
加油添醋	cia yeu thi tshu
加油站	ko yeu dzae
加油車	ko yeu tsho
加法	ko faq
加注	ko tsyu
加泰羅尼亞	cia tha lou gni ia
加洗	ko shi
加洗照片	ko shi ciau phi
加派	ko pha
加深	ko shin
加深印象	ko shin in zhian
加深理解	ko shin li cia
加深處理	ko shin tshyu li
加添	ko thi
加減	ko kae
加減乘除	ko kae jin dzyu
加減法	ko kae faq
加減號	ko kae ghau
加溫	ko uen
加溫法	ko uen faq
加溼器	ko shiq chi
加滿	ko mun
加演	ko yi
加漲	ko cian
加潑	ko phaq
加煎	ko ci
加熱	ko gniq
加熱器	ko gniq chi
加熱法	ko gniq faq
加熱爐	ko gniq lu
加爲	ko wei
加爾克漢德省	cia er khaq he taq san
加爾各答	cia er koq taq
加爾各達	cia er koq daq
加爾文	cia er ven
加特林	cia daq lin
加特林機槍	cia daq lin ci chian
加班	ko pae
加班加點	ko pae ko ti
加班津貼	ko pae cin thiaq
加班費	ko pae fi
加班車	ko pae tsho
加甜	ko di
加產	ko tshae
加當	cia taon
加登	cia ten
加百列	cia paq liq
加的夫	cia tiq fu
加的斯	cia tiq sy
加盟	ko men
加盟共和國	ko men gon ghou koq
加盟商	ko men saon
加盟店	ko men ti
加硝	ko shiau
加碘	ko ti
加碼	ko mo
加稅	ko sei
加穿	ko tshOE
加等	ko ten
加算	ko soe
加簽	ko chi
加簽證	ko chi cin
加粗	ko tshu
加精	ko cin
加糖	ko daon
加納	cia naq
加組	ko tsu
加給	ko ciq
加撥	ko paq
加緊	ko cin
加緊努力	ko cin nu liq
加緊練習	ko cin li zhiq
加緊腳步	ko cin ciaq bu
加緊訓練	ko cin shiun li
加線	ko shi
加縫	ko von
加總	ko tson
加罰	ko vaq
加羅林羣島	cia lou lin jiun tau
加考	ko khau
加考科目	ko khau khou moq
加聚反應	ko zyu fae in
加航	cia ghaon
加色	ko saq
加色法	ko saq faq
加色處理	ko saq tshyu li
加茲尼	cia tsy gni
加茲尼省	cia tsy gni san
加菜	ko tshe
加菜金	ko tshe cin
加菲	cia fi
加菲貓	cia fi mhau
加蓋	ko ke
加蓬	cia bon
加薩走廊	cia saq tseu laon
加薪	ko shin
加藤	cia den
加藥	ko yaq
加號	ko ghau
加血	ko shiuq
加補	ko pu
加裝	ko tsaon
加裝在	ko tsaon dze
加西亞	cia shi ia
加解密系統	ko ka miq shi thon
加訂	ko tin
加計	ko ci
加訓	ko shiun
加設	ko shiq
加註	ko tsyu
加詞	ko dzy
加試	ko sy
加課	ko khou
加諸	ko tsyu
加護	ko wu
加護病房	ko wu bin vaon
加賽	ko se
加賽一場	ko se iq jian
加贈	ko dzen
加起來	ko chi le
加足	ko tsoq
加足馬力	ko tsoq mo liq
加車	ko tsho
加載	ko tse
加輪	ko len
加農	cia non
加農榴彈炮	cia non lieu dae phau
加農炮	cia non phau
加退選	ko thei soe
加送	ko son
加速	ko soq
加速卡	ko soq kha
加速器	ko soq chi
加速度	ko soq du
加速泵	ko soq paon
加速踏板	ko soq daq pae
加速進行	ko soq cin yin
加速運動	ko soq yun don
加造	ko zau
加進	ko cin
加進來	ko cin le
加進去	ko cin chi
加過	ko kou
加過來	ko kou le
加過去	ko kou chiu
加達里	cia daq li
加選	ko soe
加那利羣島	cia nha li jiun tau
加酒	ko cieu
加酸	ko soe
加酸處理	ko soe tshyu li
加里	cia li
加里寧	cia li gnin
加里寧格勒	cia li gnin kaq laq
加里寧格勒州	cia li gnin kaq laq cieu
加里曼丹	cia li mae tae
加里曼丹島	cia li mae tae tau
加里波的	cia li pou tiq
加里波第	cia li pou di
加里肋亞	cia li laq ia
加里肋亞海	cia li laq ia he
加重	ko dzon
加重比例	ko dzon pi li
加重計分	ko dzon ci fen
加錢	ko ji
加鈔票	ko tshau phiau
加錯	ko tshou
加鎖	ko sou
加長	ko jian
加開	ko khe
加開班次	ko khe pae tshy
加附	ko vu
加隊	ko dei
加飛	ko fi
加餐	ko tshae
加高	ko kau
加鹽	ko yi
加鹽加醋	ko yi ko tshu
加點	ko ti
助人	dzu gnin
助人爲快樂之本	dzu gnin wei khua loq tsy pen
助人爲樂	dzu gnin wei loq
助學	dzu ghoq
助學貸款	dzu ghoq de khun
助學金	dzu ghoq cin
助教	dzu ciau
助長	dzu cian
助長聲勢	dzu cian shin syu
努力下去	nu liq gho chi
努力落去	nu liq loq chi
努力學習	nu liq ghoq zyuq
努力學習	nu liq ghoq zhiq
努爾哈赤	nu er ha chiq
劫去	ciq chiu
劫後英雄傳	ciq gheu in yon dzoe
劫後餘生	ciq gheu yu sen
劫持人質	ciq dzy zyun tsy
劫持人質	ciq ji zyun tsy
劾繫	ghaq shi
勁吹	jin tshyu
勁爆	jin pau
勃列日涅夫	baq liq zyuq gniaq fu
勃勃生機	baq baq sen ci
勃拉姆斯	baq lha m sy
勃然大怒	baq zoe da nu
勇猛過人	ion man kou gnin
勒克萊爾	laq khaq le er
勒哈費爾	laq ha fi er
勒死	laq shi
勒煞	laq saq
動不了	don paq liau
動勿了	don vaq liau
動弗了	don vaq liau
動勿來	don vaq le
動弗來	don vaq le
動了	don lei
動了	don laq
動人	don gnin
動人心絃	don gnin shin yi
動人心魄	don gnin shin phaq
動來動去	don le don chi
動力學	don liq yuq
動員大會	don yu da wei
動如參商	don zyu sen saon
動態更新	don the ken shin
動態範圍	don the vae wei
動易	don yiq
動植物分類	don jiq vaq fen lei
動物分類	don vaq fen lei
動物學家	don vaq yuq cia
動物防疫	don vaq vaon yuq
動狀詞	don dzaon dzy
動覺	don ciuq
動魄	don phaq
動魄驚心	don phaq cin shin
勘察加	khae tshaq cia
勘察加半島	khae tshaq cia pun tau
務工人員	vu kon zyun yu
務工人員	Wu kon zyun yu
務農人家	vu non gnin ko
務農人家	Wu non gnin ko
勝仗	shin cian
勝任	shin zyun
勝任愉快	shin zyun yu khua
勝任能力	shin zyun nen liq
勝利在望	shin li dze vaon
勝敗乃兵家常事	shin ba nae pin cia dzaon zy
勝朝	shin jiau
勝樂金剛	shin loq cin kaon
勝殘去殺	shin dzae chiu saq
勝率	shin liq
勝負乃兵家常事	shin veu nae pin cia dzaon zy
勝造七級浮屠	shin zau chiq ciq vu du
勝過一個諸葛亮	shin kou iq goq tsyu kaq lian
勞動人民	lau don zyun min
勞動密集型	lau don miq jiq yin
勞動工分	lau don kon fen
勞動教養	lau don ciau ian
勞動日	lau don gniq
勞動時間	lau don zy ci
勞動爭議	lau don tsen gni
勞動生產力	lau don sen tshae liq
勞動生產率	lau don sen tshae liq
勞埃德	lau e taq
勞拉	lau lha
勞拉西泮	lau lha shi phun
勞教	lau ciau
勞教所	lau ciau so
勞燕分飛	lau i fen fi
勞爾	lau er
募集	mou jiq
